Ortholog,Presence
K02469,1
K02470,1
K24648,1
K03629,1
K02338,1
K02313,1
K03536,1
K03217,1
K06346,1
K03650,1
K03495,1
K03501,1
K03497,1
K03496,1
K03497,1
K06942,1
K02990,1
K03111,1
K01142,1
K01759,1
K00661,1
K08369,1
K07052,1
K06888,1
K06367,1
K08168,1
K19273,1
K07149,1
K15986,1
K06329,1
K22927,1
K02939,1
K03449,1
K01939,1
K07668,1
K07652,1
K06714,1
K00819,1
K02205,1
K01476,1
K06365,1
K00148,1
K00783,1
K04041,1
K16917,1
K16916,1
K01223,1
K03387,1
K24119,1
K00033,1
K03299,1
K25031,1
K11476,1
K00865,1
K06518,1
K07155,1
K07148,1
K00128,1
K04079,1
K06607,1
K06608,1
K00140,1
K03337,1
K03338,1
K03336,1
K03335,1
K06610,1
K00010,1
K06605,1
K06606,1
K03339,1
K11634,1
K11633,1
K11635,1
K11636,1
K25308,1
K24041,1
K24116,1
K24117,1
K16961,1
K16962,1
K16963,1
K21613,1
K05346,1
K01619,1
K11535,1
K00756,1
K16236,1
K01479,1
K01468,1
K01712,1
K01745,1
K09683,1
K06113,1
K03574,1
K21493,1
K02757,1
K01223,1
K05592,1
K06902,1
K03488,1
K01216,1
K03300,1
K03781,1
K00563,1
K01028,1
K01029,1
K00019,1
K01258,1
K02479,1
K01784,1
K00128,1
K10112,1
K00425,1
K00426,1
K16013,1
K16012,1
K17758,1
K03457,1
K03088,1
K01990,1
K01992,1
K03781,1
K03652,1
K03491,1
K02760,1
K02761,1
K02759,1
K01222,1
K00826,1
K14189,1
K03740,1
K14188,1
K03739,1
K03367,1
K02548,1
K07816,1
K01607,1
K19701,1
K01866,1
K02810,1
K13277,1
K01759,1
K06969,1
K06518,1
K00878,1
K00788,1
K07243,1
K07224,1
K16301,1
K14393,1
K19432,1
K00849,1
K00965,1
K02826,1
K02827,1
K02828,1
K05837,1
K19285,1
K14647,1
K02598,1
K02810,1
K01193,1
K00868,1
K03648,1
K00128,1
K06305,1
K07257,1
K01710,1
K00067,1
K00260,1
K02205,1
K19547,1
K19548,1
K13037,1
K19552,1
K19549,1
K19550,1
K00435,1
K00625,1
K21900,1
K03298,1
K06314,1
K09388,1
K08166,1
K01868,1
K01821,1
K21464,1
K00797,1
K01480,1
K06364,1
K01990,1
K01887,1
K00370,1
K00371,1
K00373,1
K00374,1
K06131,1
K06147,1
K13281,1
K06131,1
K03048,1
K01937,1
K02490,1
K01624,1
K00616,1
K00790,1
K02446,1
K03628,1
K02909,1
K00857,1
K00027,1
K13936,1
K08234,1
K02835,1
K02493,1
K06387,1
K07566,1
K20201,1
K01808,1
K00600,1
K00761,1
K02108,1
K02109,1
K02113,1
K02111,1
K02115,1
K02112,1
K02114,1
K00790,1
K06381,1
K07114,1
K07114,1
K02379,1
K03639,1
K06360,1
K01430,1
K01429,1
K01428,1
K07118,1
K21743,1
K06131,1
K06386,1
K19302,1
K04751,1
K03320,1
K03457,1
K06283,1
K03569,1
K02391,1
K02392,1
K06362,1
K02372,1
K03282,1
K07284,1
K22103,1
K19420,1
K00903,1
K01104,1
K00012,1
K05982,1
K07240,1
K07240,1
K00681,1
K06330,1
K03893,1
K01652,1
K01575,1
K10439,1
K10440,1
K10441,1
K06726,1
K00852,1
K02529,1
K01932,1
K22116,1
K07282,1
K21064,1
K01005,1
K08139,1
K06293,1
K06292,1
K06291,1
K01809,1
K23989,1
K18704,1
K05352,1
K21030,1
K21285,1
K05946,1
K00980,1
K09809,1
K09692,1
K09693,1
K00963,1
K00712,1
K01791,1
K01005,1
K01448,1
K22708,1
K16694,1
K16697,1
K00012,1
K16705,1
K16706,1
K16698,1
K16699,1
K02851,1
K01005,1
K07777,1
K07692,1
K25232,1
K02240,1
K02241,1
K02242,1
K02398,1
K02396,1
K02397,1
K13626,1
K03563,1
K02406,1
K06603,1
K02407,1
K02422,1
K02423,1
K03070,1
K02836,1
K12263,1
K09812,1
K09811,1
K03797,1
K01007,1
K03702,1
K03701,1
K08972,1
K24967,1
K02564,1
K01443,1
K06023,1
K13292,1
K06019,1
K24872,1
K19551,1
K02502,1
K00765,1
K00013,1
K01693,1
K02501,1
K01814,1
K02500,1
K11755,1
K18104,1
K21471,1
K00384,1
K03574,1
K06958,1
K09762,1
K11184,1
K00675,1
K02483,1
K02003,1
K02004,1
K00090,1
K01673,1
K03321,1
K01208,1
K15770,1
K15771,1
K15772,1
K00691,1
K01182,1
K01838,1
K01358,1
K25519,1
K11741,1
K18924,1
K01212,1
K00692,1
K25316,1
K13727,1
K03929,1
K19417,1
K19420,1
K00903,1
K19421,1
K19422,1
K19423,1
K19424,1
K19419,1
K19425,1
K19426,1
K19427,1
K19418,1
K19428,1
K19429,1
K19430,1
K19431,1
K03092,1
K03303,1
K05799,1
K02529,1
K15770,1
K15771,1
K15772,1
K12308,1
K01224,1
K07315,1
K19707,1
K01990,1
K07778,1
K02479,1
K18928,1
K18929,1
K00782,1
K03293,1
K02103,1
K02100,1
K05311,1
K00134,1
K00927,1
K01803,1
K15633,1
K01689,1
K05595,1
K22301,1
K05847,1
K05846,1
K05845,1
K05846,1
K22301,1
K05847,1
K05846,1
K05845,1
K05846,1
K22299,1
K22299,1
K03075,1
K03928,1
K12573,1
K03664,1
K03297,1
K01118,1
K16044,1
K21600,1
K07213,1
K17686,1
K01534,1
K03657,1
K00380,1
K00381,1
K24163,1
K23257,1
K02018,1
K02020,1
K07219,1
K19005,1
K07038,1
K03758,1
K25308,1
K25288,1
K25289,1
K25290,1
K24950,1
K24949,1
K24948,1
K01569,1
K03093,1
K25034,1
K25027,1
K25028,1
K00798,1
K11619,1
K11620,1
K11621,1
K11622,1
K11617,1
K11618,1
K06290,1
K06289,1
K06288,1
K01679,1
K07650,1
K07770,1
K04771,1
K04047,1
K08602,1
K25130,1
K00318,1
K07516,1
K00632,1
K00537,1
K02437,1
K07476,1
K02071,1
K02072,1
K02073,1
K09013,1
K09015,1
K11717,1
K04488,1
K09014,1
K10708,1
K10117,1
K10118,1
K10119,1
K10710,1
K10711,1
K10112,1
K02083,1
K00839,1
K00087,1
K00087,1
K00087,1
K00087,1
K00087,1
K07127,1
K16170,1
K16170,1
K09684,1
K01466,1
K07090,1
K21472,1
K03644,1
K00003,1
K01733,1
K00872,1
K03885,1
K03317,1
K01778,1
K13628,1
K22441,1
K07734,1
K00364,1
K21567,1
K03885,1
K09775,1
K01255,1
K07084,1
K03523,1
K07017,1
K00216,1
K02361,1
K02363,1
K01252,1
K04780,1
K00259,1
K16216,1
K06950,1
K00763,1
K02251,1
K02253,1
K07680,1
K07691,1
K05571,1
K05570,1
K05569,1
K05568,1
K05567,1
K05565,1
K11616,1
K23536,1
K23535,1
K23537,1
K11615,1
K11614,1
K18770,1
K06348,1
K06347,1
K07697,1
K14155,1
K10907,1
K07570,1
K09779,1
K19955,1
K01810,1
K10716,1
K06973,1
K03699,1
K01187,1
K00686,1
K03406,1
K03406,1
K03406,1
K03406,1
K00848,1
K03534,1
K01813,1
K22230,1
K06153,1
K00456,1
K22109,1
K00130,1
K07192,1
K16789,1
K01447,1
K06389,1
K06388,1
K03306,1
K07220,1
K03294,1
K15975,1
K20534,1
K04771,1
K00286,1
K16203,1
K16200,1
K16201,1
K16202,1
K16199,1
K01297,1
K19802,1
K20742,1
K02032,1
K07404,1
K05916,1
K18924,1
K18925,1
K01433,1
K00931,1
K00147,1
K04063,1
K23775,1
K04063,1
K01487,1
K00549,1
K13275,1
K17763,1
K16785,1
K01552,1
K16925,1
K24620,1
K02483,1
K06213,1
K23776,1
K20534,1
K01971,1
K10979,1
K03093,1
K06421,1
K03799,1
K03498,1
K13533,1
K00567,1
K08963,1
K00899,1
K13566,1
K08969,1
K08965,1
K08964,1
K08967,1
K06376,1
K13532,1
K15973,1
K02557,1
K02556,1
K03697,1
K06920,1
K01737,1
K10026,1
K09457,1
K01449,1
K01534,1
K01271,1
K03480,1
K20118,1
K02784,1
K08483,1
K06315,1
K03716,1
K03406,1
K21466,1
K02491,1
K00841,1
K03415,1
K07098,1
K09776,1
K03839,1
K03839,1
K05822,1
K05823,1
K03386,1
K06437,1
K03752,1
K21029,1
K03750,1
K03753,1
K03635,1
K03636,1
K18889,1
K18890,1
K24949,1
K24948,1
K03436,1
K00882,1
K02770,1
K03100,1
K00077,1
K19689,1
K03569,1
K07698,1
K03499,1
K01486,1
K12574,1
K01462,1
K00161,1
K00162,1
K00627,1
K00382,1
K01585,1
K01092,1
K01400,1
K03088,1
K06207,1
K07175,1
K01425,1
K03588,1
K01958,1
K02259,1
K02275,1
K02274,1
K02276,1
K02277,1
K02862,1
K00954,1
K07001,1
K07177,1
K07040,1
K00077,1
K22136,1
K03925,1
K03438,1
K08724,1
K08384,1
K01928,1
K01000,1
K01925,1
K03588,1
K02563,1
K00075,1
K03589,1
K03590,1
K03531,1
K13276,1
K06383,1
K03091,1
K03091,1
K02013,1
K20895,1
K05810,1
K06997,1
K09772,1
K02221,1
K04074,1
K01870,1
K03101,1
K06180,1
K02825,1
K02824,1
K00609,1
K01465,1
K01956,1
K01955,1
K02823,1
K17828,1
K01591,1
K00762,1
K00390,1
K16331,1
K00958,1
K00860,1
K02303,1
K03794,1
K24866,1
K01537,1
K09777,1
K00942,1
K03060,1
K13038,1
K04066,1
K01462,1
K00604,1
K03500,1
K06941,1
K20074,1
K12132,1
K06949,1
K01783,1
K00949,1
K07030,1
K01752,1
K01752,1
K03655,1
K03621,1
K00645,1
K00059,1
K02078,1
K03685,1
K03529,1
K03110,1
K09787,1
K03106,1
K02959,1
K06960,1
K02860,1
K00554,1
K02884,1
K14540,1
K03470,1
K04061,1
K01903,1
K01902,1
K04096,1
K03168,1
K04094,1
K03733,1
K01419,1
K03667,1
K03706,1
K02387,1
K02388,1
K02408,1
K02409,1
K02410,1
K02411,1
K02412,1
K02413,1
K02414,1
K02389,1
K02390,1
K02415,1
K02416,1
K02417,1
K03413,1
K02418,1
K02419,1
K02420,1
K02421,1
K02401,1
K02400,1
K02404,1
K04562,1
K03412,1
K03407,1
K03408,1
K03410,1
K03411,1
K02405,1
K02967,1
K02357,1
K09903,1
K02838,1
K00806,1
K00981,1
K00099,1
K11749,1
K01881,1
K03763,1
K09748,1
K02600,1
K07742,1
K02519,1
K09764,1
K02834,1
K03177,1
K11753,1
K00962,1
K06410,1
K06411,1
K00133,1
K00928,1
K01714,1
K12574,1
K03466,1
K03710,1
K08221,1
K00059,1
K00995,1
K03742,1
K03553,1
K18682,1
K09769,1
K06416,1
K00060,1
K00639,1
K06168,1
K06328,1
K03555,1
K03572,1
K15327,1
K15328,1
K15329,1
K15337,1
K00646,1
K15311,1
K15312,1
K15313,1
K13612,1
K13614,1
K13615,1
K15468,1
K17734,1
K11815,1
K11814,1
K00791,1
K03666,1
K03647,1
K00525,1
K00526,1
K01448,1
K06413,1
K03665,1
K03713,1
K01915,1
K03292,1
K01198,1
K01805,1
K00854,1
K01775,1
K01520,1
K00560,1
K06326,1
K03116,1
K06310,1
K06311,1
K06312,1
K11210,1
K01356,1
K00615,1
K09976,1
K06196,1
K03413,1
K06335,1
K06433,1
K06432,1
K01681,1
K06434,1
K07107,1
K08591,1
K02622,1
K02621,1
K03310,1
K01179,1
K15924,1
K15921,1
K00963,1
K07097,1
K01640,1
K01961,1
K00666,1
K15668,1
K15667,1
K03205,1
K06405,1
K06406,1
K06132,1
K10747,1
K03091,1
K00033,1
K01447,1
K07015,1
K06948,1
K00014,1
K07574,1
K00969,1
K09710,1
K02239,1
K02237,1
K01493,1
K02238,1
K02340,1
K02968,1
K06012,1
K06385,1
K03596,1
K03705,1
K03687,1
K04043,1
K03686,1
K02687,1
K09761,1
K18707,1
K03324,1
K02970,1
K09117,1
K06438,1
K06217,1
K07037,1
K07042,1
K00887,1
K01489,1
K03595,1
K03584,1
K01878,1
K01879,1
K23774,1
K09773,1
K09768,1
K02316,1
K03086,1
K13300,1
K06967,1
K03527,1
K18692,1
K01151,1
K02076,1
K05967,1
K03526,1
K09793,1
K04564,1
K08222,1
K21465,1
K02040,1
K02037,1
K02038,1
K02036,1
K02036,1
K01934,1
K19225,1
K25026,1
K19005,1
K01308,1
K01069,1
K00537,1
K17763,1
K03699,1
K02243,1
K02244,1
K02245,1
K02246,1
K02247,1
K02248,1
K02249,1
K19433,1
K13280,1
K06336,1
K19449,1
K06372,1
K00605,1
K00282,1
K00283,1
K23734,1
K07001,1
K03786,1
K01262,1
K02356,1
K06390,1
K06391,1
K06392,1
K06393,1
K06394,1
K06395,1
K06396,1
K06397,1
K02160,1
K01961,1
K03625,1
K01491,1
K03601,1
K03602,1
K13789,1
K01662,1
K06442,1
K03402,1
K03631,1
K06399,1
K07699,1
K01448,1
K01126,1
K00626,1
K00074,1
K18244,1
K01647,1
K01720,1
K03417,1
K00634,1
K00263,1
K00929,1
K00382,1
K00166,1
K00167,1
K09699,1
K19575,1
K19578,1
K23059,1
K17077,1
K23060,1
K05606,1
K01966,1
K01258,1
K09166,1
K03217,1
K02346,1
K00033,1
K00036,1
K00784,1
K00354,1
K00286,1
K07124,1
K01753,1
K00867,1
K06889,1
K01515,1
K01744,1
K03315,1
K00027,1
K06384,1
K03711,1
K04763,1
K01839,1
K03783,1
K07258,1
K06378,1
K06379,1
K03091,1
K06403,1
K06404,1
K06405,1
K06406,1
K06407,1
K06407,1
K06408,1
K01586,1
K03768,1
K07069,1
K03100,1
K11752,1
K00793,1
K14652,1
K00794,1
K02859,1
K09763,1
K05896,1
K06024,1
K07258,1
K06373,1
K06374,1
K06178,1
K07399,1
K07775,1
K07651,1
K03088,1
K03785,1
K00058,1
K23675,1
K05337,1
K07052,1
K16511,1
K00260,1
K24131,1
K01449,1
K06313,1
K00945,1
K02945,1
K01823,1
K05739,1
K03977,1
K00057,1
K06398,1
K03530,1
K01495,1
K06285,1
K00805,1
K03183,1
K24873,1
K00940,1
K00575,1
K01736,1
K01735,1
K06208,1
K01657,1
K00766,1
K01609,1
K01817,1
K01696,1
K01695,1
K00817,1
K04517,1
K00800,1
K03886,1
K03887,1
K03888,1
